Storage Modulus (MPa),,,,,,,Loss Modulus (MPa),,,,,,,Tan Delta,,,,,
PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,
Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),,Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta
,,159.196,--,137.379,703.084,,,,,,137.379,114.229,,,,,,137.379,0.16247
,,159.505,--,137.617,694.367,,,,,,137.617,114.773,,,,,,137.617,0.16529
,,159.811,--,137.887,685.022,,,,,,137.887,115.625,,,,,,137.887,0.16879
,,160.123,--,138.125,676.706,,,,,,138.125,116.372,,,,,,138.125,0.17197
,,160.434,--,138.423,666.26,,,,,,138.423,117.512,,,,,,138.423,0.17638
,,160.749,--,138.695,656.041,,,,,,138.695,118.573,,,,,,138.695,0.18074
,,161.073,--,138.926,646.746,,,,,,138.926,119.585,,,,,,138.926,0.1849
,,161.389,--,139.194,635.983,,,,,,139.194,120.956,,,,,,139.194,0.19019
,,161.696,--,139.428,626.264,,,,,,139.428,122.163,,,,,,139.428,0.19507
,,162.001,--,139.698,615.29,,,,,,139.698,123.736,,,,,,139.698,0.2011
,,162.304,--,140.006,603.068,,,,,,140.006,125.577,,,,,,140.006,0.20823
,,162.611,--,140.248,593.027,,,,,,140.248,127.023,,,,,,140.248,0.21419
,,162.92,--,140.508,581.864,,,,,,140.508,128.894,,,,,,140.508,0.22152
,,163.245,--,140.744,571.469,,,,,,140.744,130.494,,,,,,140.744,0.22835
,,163.564,--,141.009,559.666,,,,,,141.009,132.419,,,,,,141.009,0.2366
,,163.869,--,141.31,546.019,,,,,,141.31,134.542,,,,,,141.31,0.24641
,,164.175,--,141.548,534.408,,,,,,141.548,135.971,,,,,,141.548,0.25443
,,164.479,--,141.827,521.265,,,,,,141.827,137.81,,,,,,141.827,0.26438
,,164.786,--,142.064,509.233,,,,,,142.064,139.389,,,,,,142.064,0.27372
,,165.091,--,142.336,495.818,,,,,,142.336,141.421,,,,,,142.336,0.28523
,,165.406,--,142.572,483.304,,,,,,142.572,142.935,,,,,,142.572,0.29575
,,165.718,--,142.839,469.22,,,,,,142.839,144.638,,,,,,142.839,0.30825
,,166.044,59.0733,143.137,453.465,,,,,,143.137,146.441,,,,,,143.137,0.32294
,,166.362,58.0231,143.372,440.076,,,,,,143.372,147.382,,,,,,143.372,0.3349
,,166.682,58.553,143.635,425.517,,,,,,143.635,148.778,,,,,,143.635,0.34964
,,166.992,--,143.863,412.496,,,,,,143.863,149.878,,,,,,143.863,0.36334
,,167.301,51.2015,144.119,398.167,,,,,,144.119,151.324,,,,,,144.119,0.38005
,,167.685,51.0538,144.35,385.071,,,,,,144.35,152.224,,,,,,144.35,0.39532
,,168.007,50.0213,144.646,368.932,,,,,,144.646,153.504,,,,,,144.646,0.41608
,,168.324,48.1401,144.913,353.926,,,,,,144.913,154.342,,,,,,144.913,0.43609
,,168.639,47.3299,145.147,340.398,,,,,,145.147,154.744,,,,,,145.147,0.4546
,,168.945,39.7856,145.418,325.007,,,,,,145.418,154.978,,,,,,145.418,0.47685
,,169.25,39.1309,145.648,311.086,,,,,,145.648,154.572,,,,,,145.648,0.49688
,,169.557,38.2276,145.96,294.21,,,,,,145.96,154.201,,,,,,145.96,0.52412
,,169.856,37.2408,146.228,278.922,,,,,,146.228,153.231,,,,,,146.228,0.54937
,,170.162,30.1802,146.464,265.694,,,,,,146.464,151.88,,,,,,146.464,0.57164
,,170.473,30.1106,146.732,251.644,,,,,,146.732,150.337,,,,,,146.732,0.59742
,,170.775,29.5744,146.969,239.631,,,,,,146.969,148.588,,,,,,146.969,0.62007
